,image,px_out_from_centre,px_value,px_along_axis,total_axis_length_px,channel,max_signal_perpendicular
0,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,185.96132,0,195,0,241.58372
1,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,189.624,0,195,0,241.58372
2,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,193.9974,0,195,0,241.58372
3,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,198.68198,0,195,0,241.58372
4,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,204.32745,0,195,0,241.58372
5,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,210.87245,0,195,0,241.58372
6,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,216.85963,0,195,0,241.58372
7,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,221.09499,0,195,0,241.58372
8,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,224.62013,0,195,0,241.58372
9,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,228.11615,0,195,0,241.58372
10,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,231.62154,0,195,0,241.58372
11,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,236.12086,0,195,0,241.58372
12,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,239.54561,0,195,0,241.58372
13,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,241.47856,0,195,0,241.58372
14,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,241.58372,0,195,0,241.58372
15,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,239.99089,0,195,0,241.58372
16,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,238.93329,0,195,0,241.58372
17,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,240.58997,0,195,0,241.58372
18,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,240.75568,0,195,0,241.58372
19,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,240.68584,0,195,0,241.58372
20,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,241.413,0,195,0,241.58372
0,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,112.21168,0,195,1,132.03383
1,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,114.09995,0,195,1,132.03383
2,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,115.69562,0,195,1,132.03383
3,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,115.789444,0,195,1,132.03383
4,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,115.57847,0,195,1,132.03383
5,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,116.43384,0,195,1,132.03383
6,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,120.9088,0,195,1,132.03383
7,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,126.89495,0,195,1,132.03383
8,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,130.97021,0,195,1,132.03383
9,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,132.03383,0,195,1,132.03383
10,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,131.7663,0,195,1,132.03383
11,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,130.90631,0,195,1,132.03383
12,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,131.43535,0,195,1,132.03383
13,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,130.65662,0,195,1,132.03383
14,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,127.831245,0,195,1,132.03383
15,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,124.960915,0,195,1,132.03383
16,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,121.468124,0,195,1,132.03383
17,13_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,117.33382,0,195,1,132.03383
