,image,px_out_from_centre,px_value,px_along_axis,total_axis_length_px,channel,max_signal_perpendicular
0,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,203.49084,0,232,0,255.67883
1,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,205.70395,0,232,0,255.67883
2,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,207.2324,0,232,0,255.67883
3,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,211.6479,0,232,0,255.67883
4,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,216.65346,0,232,0,255.67883
5,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,220.26906,0,232,0,255.67883
6,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,220.77657,0,232,0,255.67883
7,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,218.95381,0,232,0,255.67883
8,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,221.96008,0,232,0,255.67883
9,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,227.49913,0,232,0,255.67883
10,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,231.57872,0,232,0,255.67883
11,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,233.97672,0,232,0,255.67883
12,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,233.3691,0,232,0,255.67883
13,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,235.87308,0,232,0,255.67883
14,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,240.94897,0,232,0,255.67883
15,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,247.39648,0,232,0,255.67883
16,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,253.16606,0,232,0,255.67883
17,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,255.67883,0,232,0,255.67883
18,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,255.46494,0,232,0,255.67883
19,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,254.50046,0,232,0,255.67883
20,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,254.10048,0,232,0,255.67883
0,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,123.51313,0,232,1,127.14496
1,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,124.52914,0,232,1,127.14496
2,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,125.35495,0,232,1,127.14496
3,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,125.952194,0,232,1,127.14496
4,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,126.188286,0,232,1,127.14496
5,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,126.339615,0,232,1,127.14496
6,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,127.14496,0,232,1,127.14496
7,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,126.1963,0,232,1,127.14496
8,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,122.993835,0,232,1,127.14496
9,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,120.68099,0,232,1,127.14496
10,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,119.63198,0,232,1,127.14496
11,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,119.38095,0,232,1,127.14496
12,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,118.86261,0,232,1,127.14496
13,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,118.24884,0,232,1,127.14496
14,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,118.66511,0,232,1,127.14496
15,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,118.32992,0,232,1,127.14496
16,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,117.09959,0,232,1,127.14496
17,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,115.94884,0,232,1,127.14496
18,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,114.59041,0,232,1,127.14496
19,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,113.54566,0,232,1,127.14496
20,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,112.91764,0,232,1,127.14496
0,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,290.9254,0,232,2,885.42126
1,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,445.6455,0,232,2,885.42126
2,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,678.0214,0,232,2,885.42126
3,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,851.71234,0,232,2,885.42126
4,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,885.42126,0,232,2,885.42126
5,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,802.841,0,232,2,885.42126
6,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,694.40546,0,232,2,885.42126
7,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,625.5924,0,232,2,885.42126
8,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,627.1764,0,232,2,885.42126
9,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,691.4866,0,232,2,885.42126
10,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,779.19196,0,232,2,885.42126
11,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,811.2822,0,232,2,885.42126
12,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,723.03375,0,232,2,885.42126
13,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,556.34845,0,232,2,885.42126
14,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,364.5017,0,232,2,885.42126
15,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,221.89146,0,232,2,885.42126
16,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,161.39862,0,232,2,885.42126
17,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,161.00177,0,232,2,885.42126
18,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,169.52898,0,232,2,885.42126
19,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,167.46356,0,232,2,885.42126
20,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,155.50676,0,232,2,885.42126
0,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,338.98438,0,232,3,3196.3337
1,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,411.955,0,232,3,3196.3337
2,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,640.0289,0,232,3,3196.3337
3,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,1036.2194,0,232,3,3196.3337
4,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,1607.6622,0,232,3,3196.3337
5,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,2297.1824,0,232,3,3196.3337
6,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,2900.615,0,232,3,3196.3337
7,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,3196.3337,0,232,3,3196.3337
8,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,3180.9102,0,232,3,3196.3337
9,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,2839.3801,0,232,3,3196.3337
10,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,2140.7112,0,232,3,3196.3337
11,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,1345.0348,0,232,3,3196.3337
12,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,776.17065,0,232,3,3196.3337
13,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,472.01364,0,232,3,3196.3337
14,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,351.36743,0,232,3,3196.3337
15,12_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,327.18506,0,232,3,3196.3337
