,image,px_out_from_centre,px_value,px_along_axis,total_axis_length_px,channel,max_signal_perpendicular
0,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,233.1869,0,135,0,233.49202
1,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,233.49202,0,135,0,233.49202
2,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,231.75052,0,135,0,233.49202
3,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,227.33636,0,135,0,233.49202
4,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,221.02118,0,135,0,233.49202
5,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,214.52174,0,135,0,233.49202
6,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,208.76442,0,135,0,233.49202
7,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,201.87411,0,135,0,233.49202
8,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,195.54437,0,135,0,233.49202
9,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,192.33598,0,135,0,233.49202
10,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,191.00078,0,135,0,233.49202
11,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,188.47516,0,135,0,233.49202
12,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,185.12665,0,135,0,233.49202
13,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,181.62082,0,135,0,233.49202
14,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,177.905,0,135,0,233.49202
15,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,174.14645,0,135,0,233.49202
16,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,172.15576,0,135,0,233.49202
17,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,170.87752,0,135,0,233.49202
18,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,169.09627,0,135,0,233.49202
19,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,167.82692,0,135,0,233.49202
20,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,167.43518,0,135,0,233.49202
0,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,118.00677,0,135,1,128.27242
1,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,117.868996,0,135,1,128.27242
2,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,118.04252,0,135,1,128.27242
3,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,118.400345,0,135,1,128.27242
4,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,118.57981,0,135,1,128.27242
5,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,118.82912,0,135,1,128.27242
6,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,118.98794,0,135,1,128.27242
7,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,119.67126,0,135,1,128.27242
8,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,122.0146,0,135,1,128.27242
9,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,125.500015,0,135,1,128.27242
10,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,128.27242,0,135,1,128.27242
11,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,127.66592,0,135,1,128.27242
12,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,125.95212,0,135,1,128.27242
13,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,124.32551,0,135,1,128.27242
14,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,123.048676,0,135,1,128.27242
15,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,122.57319,0,135,1,128.27242
16,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,122.57146,0,135,1,128.27242
17,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,123.029594,0,135,1,128.27242
18,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,123.74231,0,135,1,128.27242
19,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,124.18147,0,135,1,128.27242
20,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,124.253296,0,135,1,128.27242
0,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,171.65067,0,135,2,1317.455
1,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,192.19678,0,135,2,1317.455
2,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,258.3513,0,135,2,1317.455
3,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,455.50824,0,135,2,1317.455
4,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,805.9982,0,135,2,1317.455
5,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,1192.5223,0,135,2,1317.455
6,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,1317.455,0,135,2,1317.455
7,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,1163.1024,0,135,2,1317.455
8,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,877.5905,0,135,2,1317.455
9,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,669.1802,0,135,2,1317.455
10,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,578.8998,0,135,2,1317.455
11,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,560.1596,0,135,2,1317.455
12,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,644.1794,0,135,2,1317.455
13,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,669.62225,0,135,2,1317.455
14,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,568.87103,0,135,2,1317.455
15,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,402.23807,0,135,2,1317.455
16,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,257.01733,0,135,2,1317.455
17,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,176.67314,0,135,2,1317.455
18,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,159.50151,0,135,2,1317.455
19,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,160.7658,0,135,2,1317.455
20,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,159.17137,0,135,2,1317.455
0,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,307.3456,0,135,3,2938.8887
1,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,346.77258,0,135,3,2938.8887
2,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,398.7486,0,135,3,2938.8887
3,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,456.4341,0,135,3,2938.8887
4,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,612.6312,0,135,3,2938.8887
5,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,1022.4958,0,135,3,2938.8887
6,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,1667.0795,0,135,3,2938.8887
7,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,2281.0383,0,135,3,2938.8887
8,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,2624.1333,0,135,3,2938.8887
9,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,2915.6228,0,135,3,2938.8887
10,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,2938.8887,0,135,3,2938.8887
11,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,2357.1553,0,135,3,2938.8887
12,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,1526.693,0,135,3,2938.8887
13,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,856.4278,0,135,3,2938.8887
14,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,502.33148,0,135,3,2938.8887
15,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,343.14352,0,135,3,2938.8887
16,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,320.96786,0,135,3,2938.8887
17,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,336.3747,0,135,3,2938.8887
18,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,348.97336,0,135,3,2938.8887
19,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,336.36215,0,135,3,2938.8887
20,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,304.15765,0,135,3,2938.8887
0,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,231.98248,1,135,0,232.23254
1,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,232.23254,1,135,0,232.23254
2,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,231.16486,1,135,0,232.23254
3,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,227.05118,1,135,0,232.23254
4,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,221.73317,1,135,0,232.23254
5,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,216.98401,1,135,0,232.23254
6,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,211.13043,1,135,0,232.23254
7,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,204.76064,1,135,0,232.23254
8,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,197.80269,1,135,0,232.23254
9,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,193.07655,1,135,0,232.23254
10,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,190.58997,1,135,0,232.23254
11,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,187.8958,1,135,0,232.23254
12,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,184.86789,1,135,0,232.23254
13,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,181.63776,1,135,0,232.23254
14,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,177.65663,1,135,0,232.23254
15,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,173.36018,1,135,0,232.23254
16,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,172.43182,1,135,0,232.23254
17,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,171.8192,1,135,0,232.23254
18,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,170.2688,1,135,0,232.23254
19,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,169.05647,1,135,0,232.23254
20,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,168.3956,1,135,0,232.23254
0,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,116.52508,1,135,1,129.9014
1,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,116.67981,1,135,1,129.9014
2,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,117.34293,1,135,1,129.9014
3,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,117.71773,1,135,1,129.9014
4,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,118.185974,1,135,1,129.9014
5,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,118.16646,1,135,1,129.9014
6,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,118.171425,1,135,1,129.9014
7,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,119.645805,1,135,1,129.9014
8,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,122.394516,1,135,1,129.9014
9,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,125.58358,1,135,1,129.9014
10,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,129.5325,1,135,1,129.9014
11,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,129.9014,1,135,1,129.9014
12,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,125.89773,1,135,1,129.9014
13,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,123.07285,1,135,1,129.9014
14,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,121.75157,1,135,1,129.9014
15,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,120.84167,1,135,1,129.9014
16,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,120.82196,1,135,1,129.9014
17,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,121.282585,1,135,1,129.9014
18,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,121.92245,1,135,1,129.9014
19,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,122.57548,1,135,1,129.9014
20,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,122.99072,1,135,1,129.9014
0,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,171.73506,1,135,2,1182.3878
1,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,178.39452,1,135,2,1182.3878
2,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,207.75473,1,135,2,1182.3878
3,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,368.27872,1,135,2,1182.3878
4,19_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,647.85925,1,135,2,1182.3878
