,image,px_out_from_centre,px_value,px_along_axis,total_axis_length_px,channel,max_signal_perpendicular
0,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,244.38217,0,173,0,255.18771
1,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,243.6422,0,173,0,255.18771
2,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,243.52019,0,173,0,255.18771
3,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,243.07764,0,173,0,255.18771
4,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,239.77159,0,173,0,255.18771
5,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,238.53653,0,173,0,255.18771
6,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,238.68153,0,173,0,255.18771
7,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,239.28958,0,173,0,255.18771
8,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,240.02917,0,173,0,255.18771
9,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,242.74933,0,173,0,255.18771
10,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,246.86111,0,173,0,255.18771
11,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,248.09453,0,173,0,255.18771
12,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,247.16397,0,173,0,255.18771
13,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,248.10143,0,173,0,255.18771
14,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,253.7736,0,173,0,255.18771
15,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,255.18771,0,173,0,255.18771
16,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,253.10472,0,173,0,255.18771
17,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,248.3163,0,173,0,255.18771
18,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,242.77444,0,173,0,255.18771
19,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,236.53221,0,173,0,255.18771
20,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,231.99991,0,173,0,255.18771
0,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,113.58034,0,173,1,128.6233
1,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,113.50827,0,173,1,128.6233
2,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,113.40368,0,173,1,128.6233
3,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,112.95613,0,173,1,128.6233
4,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,112.56986,0,173,1,128.6233
5,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,112.71029,0,173,1,128.6233
6,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,113.45834,0,173,1,128.6233
7,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,114.92629,0,173,1,128.6233
8,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,116.12519,0,173,1,128.6233
9,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,117.90698,0,173,1,128.6233
10,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,121.52624,0,173,1,128.6233
11,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,126.54166,0,173,1,128.6233
12,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,128.6233,0,173,1,128.6233
13,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,128.17775,0,173,1,128.6233
14,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,127.06515,0,173,1,128.6233
15,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,124.547554,0,173,1,128.6233
16,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,121.61427,0,173,1,128.6233
17,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,119.28625,0,173,1,128.6233
18,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,118.35603,0,173,1,128.6233
19,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,117.43594,0,173,1,128.6233
20,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,116.15417,0,173,1,128.6233
0,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,188.76991,0,173,2,1194.1611
1,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,191.6947,0,173,2,1194.1611
2,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,189.02357,0,173,2,1194.1611
3,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,187.63538,0,173,2,1194.1611
4,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,218.50394,0,173,2,1194.1611
5,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,374.89328,0,173,2,1194.1611
6,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,652.37244,0,173,2,1194.1611
7,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,978.44336,0,173,2,1194.1611
8,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,1157.3501,0,173,2,1194.1611
9,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,1194.1611,0,173,2,1194.1611
10,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,1136.3224,0,173,2,1194.1611
11,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,1058.0289,0,173,2,1194.1611
12,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,999.8804,0,173,2,1194.1611
13,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,906.0467,0,173,2,1194.1611
14,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,666.3803,0,173,2,1194.1611
15,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,426.15857,0,173,2,1194.1611
16,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,259.8126,0,173,2,1194.1611
17,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,186.66722,0,173,2,1194.1611
18,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,175.44974,0,173,2,1194.1611
19,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,170.94472,0,173,2,1194.1611
20,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,165.61058,0,173,2,1194.1611
0,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,296.68063,0,173,3,1754.8663
1,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,312.19156,0,173,3,1754.8663
2,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,329.11826,0,173,3,1754.8663
3,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,342.01797,0,173,3,1754.8663
4,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,350.97754,0,173,3,1754.8663
5,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,372.16492,0,173,3,1754.8663
6,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,446.1229,0,173,3,1754.8663
7,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,668.80176,0,173,3,1754.8663
8,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,1053.3604,0,173,3,1754.8663
9,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,1476.2599,0,173,3,1754.8663
10,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,1754.8663,0,173,3,1754.8663
11,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,1630.769,0,173,3,1754.8663
12,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,1278.1604,0,173,3,1754.8663
13,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,875.37976,0,173,3,1754.8663
14,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,593.5546,0,173,3,1754.8663
15,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,432.37576,0,173,3,1754.8663
16,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,349.31613,0,173,3,1754.8663
17,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,324.43118,0,173,3,1754.8663
18,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,319.46405,0,173,3,1754.8663
19,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,316.24417,0,173,3,1754.8663
20,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,313.9843,0,173,3,1754.8663
0,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,244.5321,1,173,0,255.93188
1,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,244.44171,1,173,0,255.93188
2,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,243.67194,1,173,0,255.93188
3,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,241.64828,1,173,0,255.93188
4,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,239.57953,1,173,0,255.93188
5,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,238.13312,1,173,0,255.93188
6,9_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,238.44728,1,173,0,255.93188
