,image,px_out_from_centre,px_value,px_along_axis,total_axis_length_px,channel,max_signal_perpendicular
0,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,260.24298,0,197,0,265.41376
1,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,259.78482,0,197,0,265.41376
2,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,261.12183,0,197,0,265.41376
3,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,263.00647,0,197,0,265.41376
4,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,264.10577,0,197,0,265.41376
5,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,264.91574,0,197,0,265.41376
6,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,265.41376,0,197,0,265.41376
7,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,264.86487,0,197,0,265.41376
8,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,263.4946,0,197,0,265.41376
9,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,261.39352,0,197,0,265.41376
10,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,258.45715,0,197,0,265.41376
11,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,255.13876,0,197,0,265.41376
12,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,250.99493,0,197,0,265.41376
13,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,247.30627,0,197,0,265.41376
14,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,243.41267,0,197,0,265.41376
15,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,238.55281,0,197,0,265.41376
16,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,233.02698,0,197,0,265.41376
17,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,226.06932,0,197,0,265.41376
18,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,216.468,0,197,0,265.41376
19,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,208.33263,0,197,0,265.41376
20,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,203.99988,0,197,0,265.41376
0,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,114.898895,0,197,1,140.9785
1,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,118.23526,0,197,1,140.9785
2,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,123.732346,0,197,1,140.9785
3,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,129.56352,0,197,1,140.9785
4,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,135.85196,0,197,1,140.9785
5,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,140.49252,0,197,1,140.9785
6,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,140.9785,0,197,1,140.9785
7,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,137.33722,0,197,1,140.9785
8,3_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,132.41487,0,197,1,140.9785
