,image,px_out_from_centre,px_value,px_along_axis,total_axis_length_px,channel,max_signal_perpendicular
0,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,258.04053,0,197,0,262.31805
1,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,258.4489,0,197,0,262.31805
2,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,255.44957,0,197,0,262.31805
3,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,249.96046,0,197,0,262.31805
4,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,244.5194,0,197,0,262.31805
5,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,240.19125,0,197,0,262.31805
6,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,237.53305,0,197,0,262.31805
7,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,238.20271,0,197,0,262.31805
8,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,241.7578,0,197,0,262.31805
9,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,247.23354,0,197,0,262.31805
10,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,254.18924,0,197,0,262.31805
11,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,258.7015,0,197,0,262.31805
12,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,261.0947,0,197,0,262.31805
13,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,262.31805,0,197,0,262.31805
14,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,262.18256,0,197,0,262.31805
15,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,259.67697,0,197,0,262.31805
16,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,256.39032,0,197,0,262.31805
17,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,252.73087,0,197,0,262.31805
18,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,253.86842,0,197,0,262.31805
19,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,254.47131,0,197,0,262.31805
20,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,253.87077,0,197,0,262.31805
0,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,110.68407,0,197,1,126.961555
1,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,110.42971,0,197,1,126.961555
2,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,110.41655,0,197,1,126.961555
3,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,110.41149,0,197,1,126.961555
4,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,110.85708,0,197,1,126.961555
5,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,111.52745,0,197,1,126.961555
6,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,112.69907,0,197,1,126.961555
7,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,113.34064,0,197,1,126.961555
8,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,113.185,0,197,1,126.961555
9,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,113.85985,0,197,1,126.961555
10,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,115.608574,0,197,1,126.961555
11,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,120.332115,0,197,1,126.961555
12,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,124.67473,0,197,1,126.961555
13,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,126.961555,0,197,1,126.961555
14,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,125.5623,0,197,1,126.961555
15,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,122.26435,0,197,1,126.961555
16,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,119.41636,0,197,1,126.961555
17,7_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,117.070526,0,197,1,126.961555
