,image,px_out_from_centre,px_value,px_along_axis,total_axis_length_px,channel,max_signal_perpendicular
0,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,241.83037,0,229,0,267.3073
1,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,240.3177,0,229,0,267.3073
2,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,240.06989,0,229,0,267.3073
3,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,240.93643,0,229,0,267.3073
4,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,241.09557,0,229,0,267.3073
5,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,241.15288,0,229,0,267.3073
6,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,241.56815,0,229,0,267.3073
7,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,242.46292,0,229,0,267.3073
8,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,243.96022,0,229,0,267.3073
9,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,245.41374,0,229,0,267.3073
10,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,246.71823,0,229,0,267.3073
11,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,248.0301,0,229,0,267.3073
12,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,250.01086,0,229,0,267.3073
13,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,252.79175,0,229,0,267.3073
14,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,254.6627,0,229,0,267.3073
15,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,257.97195,0,229,0,267.3073
16,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,261.10498,0,229,0,267.3073
17,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,264.0459,0,229,0,267.3073
18,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,265.93732,0,229,0,267.3073
19,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,266.81842,0,229,0,267.3073
20,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,267.3073,0,229,0,267.3073
0,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,114.35703,0,229,1,182.4228
1,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,113.70278,0,229,1,182.4228
2,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,113.69336,0,229,1,182.4228
3,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,114.431046,0,229,1,182.4228
4,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,117.62974,0,229,1,182.4228
5,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,123.19289,0,229,1,182.4228
6,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,126.70462,0,229,1,182.4228
7,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,131.10182,0,229,1,182.4228
8,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,141.47997,0,229,1,182.4228
9,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,157.76004,0,229,1,182.4228
10,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,172.34177,0,229,1,182.4228
11,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,182.4228,0,229,1,182.4228
12,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,170.9205,0,229,1,182.4228
13,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,148.04097,0,229,1,182.4228
14,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,130.15982,0,229,1,182.4228
15,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,121.3942,0,229,1,182.4228
16,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,118.76012,0,229,1,182.4228
17,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,116.358315,0,229,1,182.4228
18,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,115.31349,0,229,1,182.4228
19,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,114.14029,0,229,1,182.4228
20,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,113.954704,0,229,1,182.4228
0,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,190.12505,0,229,2,860.9457
1,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,216.3278,0,229,2,860.9457
2,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,275.59036,0,229,2,860.9457
3,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,367.62653,0,229,2,860.9457
4,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,472.77597,0,229,2,860.9457
5,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,633.94904,0,229,2,860.9457
6,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,775.2264,0,229,2,860.9457
7,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,793.96356,0,229,2,860.9457
8,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,745.5654,0,229,2,860.9457
9,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,697.0753,0,229,2,860.9457
10,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,689.5839,0,229,2,860.9457
11,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,777.2264,0,229,2,860.9457
12,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,860.9457,0,229,2,860.9457
13,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,860.88336,0,229,2,860.9457
14,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,670.2548,0,229,2,860.9457
15,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,431.024,0,229,2,860.9457
16,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,282.13223,0,229,2,860.9457
17,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,237.13812,0,229,2,860.9457
18,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,217.16057,0,229,2,860.9457
19,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,205.45044,0,229,2,860.9457
20,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,195.39651,0,229,2,860.9457
0,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,378.27603,0,229,3,4415.0063
1,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,468.26355,0,229,3,4415.0063
2,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,600.4149,0,229,3,4415.0063
3,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,763.17645,0,229,3,4415.0063
4,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,1030.276,0,229,3,4415.0063
5,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,1487.5294,0,229,3,4415.0063
6,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,2115.057,0,229,3,4415.0063
7,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,3080.3467,0,229,3,4415.0063
8,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,4075.4482,0,229,3,4415.0063
9,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,4415.0063,0,229,3,4415.0063
10,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,3902.8428,0,229,3,4415.0063
11,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,2802.2817,0,229,3,4415.0063
12,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,1772.242,0,229,3,4415.0063
13,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,979.7416,0,229,3,4415.0063
14,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,584.7027,0,229,3,4415.0063
15,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,440.7339,0,229,3,4415.0063
16,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,390.98703,0,229,3,4415.0063
17,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,364.9572,0,229,3,4415.0063
18,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,335.99963,0,229,3,4415.0063
19,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,320.1443,0,229,3,4415.0063
20,14_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,309.6645,0,229,3,4415.0063
